time,open,high,low,close,volume
2025-05-08 05:00:00,984.99,986.49,978.51,978.66,6855
2025-05-08 09:00:00,978.65,979.75,971.92,976.59,9111
2025-05-08 13:00:00,976.4,990.29,975.66,988.55,8862
2025-05-08 17:00:00,988.55,990.0,979.01,982.79,9262
2025-05-08 21:00:00,982.79,983.96,980.17,982.81,6582
2025-05-09 01:00:00,983.71,987.45,978.87,979.72,7180
2025-05-09 05:00:00,979.73,985.57,977.7,982.81,7010
2025-05-09 09:00:00,982.49,990.72,982.49,989.61,8262
2025-05-09 13:00:00,989.75,990.31,984.62,989.51,8097
2025-05-09 17:00:00,989.3,1000.59,988.32,999.35,7754
2025-05-09 21:00:00,999.36,1001.34,996.6,997.41,4713
2025-05-12 01:00:00,996.98,1002.36,994.4,998.76,5021
2025-05-12 05:00:00,998.74,1002.71,998.69,1000.96,8034
2025-05-12 09:00:00,1000.89,1004.73,979.32,979.47,8868
2025-05-12 13:00:00,979.53,986.47,976.33,982.03,9477
2025-05-12 17:00:00,982.08,982.59,977.69,980.67,9063
2025-05-12 21:00:00,980.69,981.89,978.72,980.21,5801
2025-05-13 01:00:00,982.64,985.35,979.67,983.28,6195
2025-05-13 05:00:00,983.38,988.88,982.41,986.94,7020
2025-05-13 09:00:00,986.53,991.14,984.24,989.4,7186
2025-05-13 13:00:00,989.4,992.11,983.07,985.54,8949
2025-05-13 17:00:00,985.55,991.7,984.83,989.23,7936
2025-05-13 21:00:00,989.21,991.82,988.32,989.91,5510
2025-05-14 01:00:00,987.69,993.29,986.54,991.03,5691
2025-05-14 05:00:00,990.99,997.42,988.45,996.54,7697
2025-05-14 09:00:00,996.56,998.45,990.96,991.06,8358
2025-05-14 13:00:00,991.08,997.41,985.7,987.79,8654
2025-05-14 17:00:00,987.73,988.41,980.42,982.02,6362
2025-05-14 21:00:00,982.03,982.98,979.7,982.54,3990
2025-05-15 01:00:00,983.0,987.79,983.0,986.47,5714
2025-05-15 05:00:00,986.52,987.09,979.98,981.1,6469
2025-05-15 09:00:00,981.08,982.06,970.35,981.61,5773
